"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle
1.0,19.09188309,12.02081528,100.0,20.0,100.0,1.8,676.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,4.0,0.0,0.5,0.0,22.5,236.0,62.0,491.15,0.35,40.1,7.4,52.4,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,5797.0,0,40.0
1.0,19.09188309,12.02081528,100.0,70.0,100.0,1.8,676.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,4.0,0.0,0.5,0.0,22.5,236.0,62.0,491.15,0.35,40.1,7.4,52.4,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,4280.0,0,100.0
1.0,19.09188309,12.02081528,100.0,20.0,100.0,1.8,676.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,1.0,0.0,0.5,0.0,20.9,230.0,62.0,490.15,0.38,37.0,7.3,45.2,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,3819.0,0,40.0
1.0,19.09188309,12.02081528,100.0,20.0,100.0,1.8,676.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.0,0.0,0.5,0.0,20.7,232.0,58.0,490.15,0.36,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,6383.0,0,40.0
1.0,19.09188309,12.02081528,100.0,20.0,100.0,1.8,676.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.5,0.0,0.0,0.0,30.0,234.0,62.8,494.15,0.36,44.1,7.4,39.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,5941.0,0,40.0
1.0,23.33720206,7.399913851,100.0,47.3,100.0,2.3622,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1061.0,0,40.0
1.0,23.33720206,7.399913851,75.0,44.8,100.0,2.3622,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1669.0,0,40.0
1.0,23.33720206,7.399913851,75.0,44.8,75.0,2.3622,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,2676.0,0,40.0
1.0,23.33720206,7.399913851,100.0,47.3,100.0,3.175,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,862.0,0,40.0
1.0,23.33720206,7.399913851,75.0,44.8,100.0,3.175,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1106.0,0,40.0
1.0,23.33720206,7.399913851,75.0,44.8,75.0,3.175,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,2043.0,0,40.0
1.0,23.33720206,7.399913851,100.0,38.65,100.0,3.175,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1068.0,0,30.0
1.0,23.33720206,7.399913851,100.0,79.6,100.0,3.175,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1000.0,0,50.0
1.0,23.33720206,7.399913851,100.0,47.3,100.0,3.175,960.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,7.7,7.7,779.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,779.0,0,80.0
0.8,11.3137085,4.949747468,100.0,47.3,100.0,2.3622,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,4186.0,0,40.0
0.8,11.3137085,4.949747468,75.0,44.8,100.0,2.3622,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,7044.0,0,40.0
0.8,11.3137085,4.949747468,75.0,44.8,75.0,2.3622,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,7226.0,0,40.0
0.8,11.3137085,4.949747468,100.0,47.3,100.0,3.175,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1056.0,0,40.0
0.8,11.3137085,4.949747468,75.0,44.8,100.0,3.175,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,2523.0,0,40.0
0.8,11.3137085,4.949747468,75.0,44.8,75.0,3.175,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,3488.0,0,40.0
0.8,11.3137085,4.949747468,100.0,38.65,100.0,3.175,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1874.0,0,30.0
0.8,11.3137085,4.949747468,100.0,79.6,100.0,3.175,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1760.0,0,50.0
0.8,11.3137085,4.949747468,100.0,47.3,100.0,3.175,257.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1684.0,0,80.0
0.8,6.363961031,4.949747468,100.0,47.3,100.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1417.0,0,40.0
0.8,6.363961031,4.949747468,75.0,44.8,100.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,2574.0,0,40.0
0.8,6.363961031,4.949747468,75.0,44.8,75.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,3580.0,0,40.0
0.8,6.363961031,4.949747468,100.0,38.65,100.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1520.0,0,30.0
0.8,6.363961031,4.949747468,100.0,79.6,100.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1489.0,0,50.0
0.8,6.363961031,4.949747468,100.0,47.3,100.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1130.0,0,80.0
0.5,6.363961031,2.828427125,100.0,47.3,100.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,1963.0,0,40.0
0.5,6.363961031,2.828427125,75.0,44.8,100.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,3285.0,0,40.0
0.5,6.363961031,2.828427125,75.0,44.8,75.0,3.175,191.0,2.62,700.0,148.0,1693.15,0.22,159.0,2.33,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.38,50.0,20.0,20.0,109.0,36.0,36.0,2072.0,0.23,360.0,3890.0,1.0,5507.0,0,40.0
