"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle
0.8,5.66,,140.0,16.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,6241.154323,0,40.0
0.8,5.66,,150.0,25.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,3215.000188,0,40.0
0.8,5.66,,100.0,15.0,60.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,23891.16693,0,30.0
0.8,8.485281374,4.5254834,165.0,30.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2444.002924,0,60.0
0.8,8.485281374,4.5254834,165.0,21.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2697.029163,0,42.0
0.8,8.485281374,4.5254834,165.0,120.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,1666.528525,0,240.0
0.8,8.485281374,4.5254834,180.0,15.0,125.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,2614.189374,0,30.0
0.8,8.485281374,4.5254834,100.0,15.0,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,9404.031905,0,30.0
0.8,8.485281374,4.5254834,100.0,38.65,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,7240.687567,0,30.0
0.8,8.485281374,4.5254834,100.0,20.0,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,8685.723797,0,40.0
0.8,8.485281374,4.5254834,100.0,47.3,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,6847.843912,0,40.0
0.8,8.485281374,4.5254834,100.0,79.6,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,5930.868711,0,50.0
0.8,8.485281374,4.5254834,100.0,30.0,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,7765.503309,0,60.0
0.8,8.485281374,4.5254834,100.0,40.0,100.0,1.6,144.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,20.0,20.0,109.0,0.12,0.12,520.0,0.34,2.5,1.47,1.0,7172.35092,0,80.0
